Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
WE20456-USD,WeBuy USD,0.575999,+0.006793,+1.19%,208.529M,"390,862","390,862","390,862",362.031M
LSD28047-USD,L7 USD,5.0164,-0.0955,-1.87%,205.38M,"921,013","921,013","921,013",40.942M
GLM-USD,Golem USD,0.204088,-0.001479,-0.72%,204.088M,3.065M,3.065M,3.065M,1B
OAS-USD,Oasys USD,0.101580,+0.000103,+0.10%,199.614M,"953,319","953,319","953,319",1.965B
ONT-USD,Ontology USD,0.227876,-0.002870,-1.24%,199.448M,4.554M,4.554M,4.554M,875.25M
CKB-USD,Nervos Network USD,0.004581,+0.000409,+9.79%,199.139M,17.969M,17.969M,17.969M,43.468B
BTRST-USD,Braintrust USD,0.877595,-0.021982,-2.44%,196.822M,"958,030","958,030","958,030",224.274M
BAL-USD,Balancer USD,3.5757,-0.0591,-1.62%,195.852M,5.461M,5.461M,5.461M,54.772M
ONE3945-USD,Harmony USD,0.014159,-0.000158,-1.10%,195.234M,3.284M,3.284M,3.284M,13.788B
FLUX-USD,Flux USD,0.567404,-0.014456,-2.48%,193.429M,5.361M,5.361M,5.361M,340.902M
ASM-USD,Assemble Protocol USD,0.139945,+0.008025,+6.08%,190.862M,5.545M,5.545M,5.545M,1.364B
MOVR-USD,Moonriver USD,21.73,-0.44,-1.98%,189.953M,11.094M,11.094M,11.094M,8.743M
CTSI-USD,Cartesi USD,0.243674,+0.000520,+0.21%,189.121M,8.115M,8.115M,8.115M,776.122M
WAXP-USD,WAX USD,0.054555,-0.000959,-1.73%,185.799M,4.102M,4.102M,4.102M,3.406B
ACE28674-USD,Fusionist USD,8.4313,-0.8139,-8.80%,185.232M,44.127M,44.127M,44.127M,21.97M
LSK-USD,Lisk USD,1.4298,+0.0765,+5.65%,184.306M,27.434M,27.434M,27.434M,128.9M
SXP-USD,Solar USD,0.307534,-0.002693,-0.87%,182.372M,8.949M,8.949M,8.949M,593.013M
POND-USD,Marlin USD,0.022227,-0.001140,-4.88%,179.755M,10.226M,10.226M,10.226M,8.087B
VBTC-USD,Venus BTC USD,874.25,-0.30,-0.03%,179.953M,434.498M,434.498M,434.498M,"205,836"
GAL11877-USD,Galxe USD,1.8810,+0.0778,+4.31%,178.879M,24.068M,24.068M,24.068M,95.098M
MAV-USD,Maverick Protocol USD,0.708824,-0.001945,-0.27%,177.206M,21.019M,21.019M,21.019M,250M
IOST-USD,IOST USD,0.008216,-0.000067,-0.81%,175.133M,4.858M,4.858M,4.858M,21.315B
SFUND-USD,Seedify.fund USD,2.9914,-0.0744,-2.43%,173.512M,7.554M,7.554M,7.554M,58.004M
XVS-USD,Venus USD,11.07,-0.85,-7.15%,173.407M,30.525M,30.525M,30.525M,15.658M
ALEX-USD,ALEX Lab USD,0.279763,-0.002993,-1.06%,169.673M,4.026M,4.026M,4.026M,606.49M
USDJ-USD,USDJ USD,1.0919,-0.0025,-0.23%,167.913M,2.418M,2.418M,2.418M,153.777M
JOE-USD,JOE USD,0.463975,-0.002087,-0.45%,168.08M,3.6M,3.6M,3.6M,362.26M
VTHO-USD,VeThor Token USD,0.002311,-0.000053,-2.23%,167.099M,1.537M,1.537M,1.537M,72.301B
XYM-USD,Symbol USD,0.028379,-0.000131,-0.46%,166.364M,"496,078","496,078","496,078",5.862B
