Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
POWR-USD,Powerledger USD,0.301392,-0.003743,-1.23%,154.426M,4.17M,4.17M,4.17M,512.375M
LUSD-USD,Liquity USD USD,0.999482,+0.001034,+0.10%,151.649M,"172,670","172,670","172,670",151.727M
PYR-USD,Vulcan Forged (PYR) USD,5.5506,-0.0029,-0.05%,150.877M,4.701M,4.701M,4.701M,27.182M
HIVE-USD,Hive USD,0.301174,-0.004667,-1.53%,150.813M,1.206M,1.206M,1.206M,500.749M
ARK-USD,Ark USD,0.843293,-0.005378,-0.63%,150.676M,7.161M,7.161M,7.161M,178.676M
SNT-USD,Status USD,0.038446,-0.000378,-0.97%,148.996M,1.776M,1.776M,1.776M,3.875B
GUSD-USD,Gemini Dollar USD,1.0005,+0.0016,+0.16%,148.333M,"144,779","144,779","144,779",148.252M
AI28846-USD,Sleepless AI USD,1.1402,-0.0490,-4.12%,148.229M,32.326M,32.326M,32.326M,130M
AMP-USD,Amp USD,0.003506,-0.000137,-3.77%,148.038M,10.487M,10.487M,10.487M,42.228B
AIOZ-USD,AIOZ Network USD,0.138201,-0.000051,-0.04%,147.976M,"883,931","883,931","883,931",1.071B
BFIC-USD,Blockchain Foundation for Innovation & Collaboration USD,13.94,-0.28,-2.00%,147.459M,5.231M,5.231M,5.231M,10.578M
XNO-USD,Nano USD,1.0903,-0.0331,-2.95%,145.283M,1.595M,1.595M,1.595M,133.248M
GMT10180-USD,Gomining USD,0.357215,-0.012155,-3.29%,143.473M,1.732M,1.732M,1.732M,401.643M
BORA-USD,BORA USD,0.142078,-0.001325,-0.92%,141.19M,1.282M,1.282M,1.282M,993.75M
FLEX-USD,FLEX USD,1.4161,-0.3885,-21.53%,139.716M,"144,797","144,797","144,797",98.665M
ALPH-USD,Alephium USD,1.9523,+0.1399,+7.72%,135.602M,1.394M,1.394M,1.394M,69.458M
STRAX-USD,Stratis USD,0.855178,-0.011519,-1.33%,134.6M,4.32M,4.32M,4.32M,157.395M
EURS-USD,STASIS EURO USD,1.0828,+0.0051,+0.47%,134.4M,"6,267","6,267","6,267",124.126M
TET-USD,Tectum USD,26.77,-0.07,-0.27%,133.377M,2.235M,2.235M,2.235M,4.982M
VVS-USD,VVS Finance USD,0.00000303,-0.00000005,-1.65%,133.737M,3.014M,3.014M,3.014M,44.206T
PEOPLE-USD,ConstitutionDAO USD,0.026044,+0.000556,+2.18%,131.785M,26.399M,26.399M,26.399M,5.06B
POLY-USD,Polymath USD,0.142183,-0.003664,-2.51%,131.519M,"19,709","19,709","19,709",924.998M
ACH-USD,Alchemy Pay USD,0.018040,-0.000380,-2.06%,131.258M,5.092M,5.092M,5.092M,7.276B
NYM-USD,NYM USD,0.190082,-0.001564,-0.82%,130.681M,1.823M,1.823M,1.823M,687.497M
BIGTIME-USD,Big Time USD,0.324422,-0.010049,-3.00%,129.24M,13.517M,13.517M,13.517M,398.37M
TRIAS-USD,Trias Token (New) USD,13.30,-0.46,-3.33%,129.027M,1.544M,1.544M,1.544M,9.704M
ID21846-USD,SPACE ID USD,0.275614,-0.005950,-2.11%,128.779M,7.964M,7.964M,7.964M,467.245M
BLZ-USD,Bluzelle USD,0.299504,-0.004249,-1.40%,127.74M,4.765M,4.765M,4.765M,426.504M
BONE11865-USD,Bone ShibaSwap USD,0.553456,+0.008349,+1.53%,127.252M,4.655M,4.655M,4.655M,229.923M
NFP28778-USD,NFPrompt USD,0.508432,-0.009486,-1.83%,127.108M,12.321M,12.321M,12.321M,250M
SYN12147-USD,Synapse USD,0.687114,-0.040028,-5.50%,126.823M,6.073M,6.073M,6.073M,184.574M
YGG-USD,Yield Guild Games USD,0.424711,-0.013397,-3.06%,126.707M,16.186M,16.186M,16.186M,298.337M
CQT-USD,Covalent USD,0.202704,-0.009126,-4.31%,126.7M,1.38M,1.38M,1.38M,625.051M
RDNT-USD,Radiant Capital USD,0.283091,-0.002582,-0.90%,126.623M,12.4M,12.4M,12.4M,447.287M
RIF-USD,Rootstock Infrastructure Framework USD,0.126312,-0.001697,-1.33%,126.312M,1.518M,1.518M,1.518M,1B
DGB-USD,DigiByte USD,0.007438,-0.000100,-1.32%,124.999M,1.83M,1.83M,1.83M,16.805B
POLYX-USD,Polymesh USD,0.151565,-0.002030,-1.32%,123.424M,2.593M,2.593M,2.593M,814.329M
HONEY22850-USD,Hivemapper USD,0.184532,+0.023673,+14.72%,122.802M,3.221M,3.221M,3.221M,665.479M
SLP-USD,Smooth Love Potion USD,0.002944,-0.000002,-0.08%,121.759M,8.417M,8.417M,8.417M,41.352B
PROM-USD,Prom USD,6.5951,-0.1409,-2.09%,120.361M,1.928M,1.928M,1.928M,18.25M
LQTY-USD,Liquity USD,1.2635,-0.0158,-1.24%,120.056M,9.363M,9.363M,9.363M,95.021M
DFI-USD,DeFiChain USD,0.140517,-0.006814,-4.63%,119.864M,2.72M,2.72M,2.72M,853.019M
CYBER24781-USD,CyberConnect USD,6.9088,-0.0816,-1.17%,119.824M,15.505M,15.505M,15.505M,17.344M
KEEP-USD,Keep Network USD,0.125933,+0.007231,+6.09%,119.767M,"8,345","8,345","8,345",951.038M
